title,franchise,year,generation,console,website,publisher,developer,genre,confidence,notes,source_file
Alien Trilogy,Alien,1996,5th Generation,Sony PlayStation,,Acclaim Entertainment,Probe Entertainment,FPS,High,,game_lists_5th_gen_enriched
Alien: Resurrection,Alien,2000,5th Generation,Sony PlayStation,,Fox Interactive,Argonaut Games,FPS / Survival Horror,High,,game_lists_5th_gen_enriched
Alone in the Dark 2,Alone in the Dark,1996,5th Generation,Sony PlayStation,,Interplay Entertainment,Infogrames,Survival Horror,High,,game_lists_5th_gen_enriched
Alone in the Dark: The New Nightmare,Alone in the Dark,2001,5th Generation,Sony PlayStation,,Infogrames,Darkworks,Survival Horror,High,,game_lists_5th_gen_enriched
Banjo-Kazooie,Banjo-Kazooie,1998,5th Generation,Nintendo 64,,Nintendo,Rare,Platformer,High,,game_lists_5th_gen_enriched
Banjo-Tooie,Banjo-Kazooie,2000,5th Generation,Nintendo 64,,Nintendo,Rare,Platformer,High,,game_lists_5th_gen_enriched
Batman & Robin,Batman,1998,5th Generation,Sony PlayStation,,Acclaim Entertainment,Probe Entertainment,Action-adventure,High,,game_lists_5th_gen_enriched
Batman Beyond: Return of the Joker,Batman,2000,5th Generation,Sony PlayStation,,Ubisoft,Kemco,Beat ’em up,High,,game_lists_5th_gen_enriched
Batman Forever,Batman,1996,5th Generation,Sony PlayStation,,Acclaim Entertainment,Probe Entertainment,Beat ’em up,High,,game_lists_5th_gen_enriched
Batman: Gotham City Racer,Batman,2001,5th Generation,Sony PlayStation,,Ubisoft,Sinister Games,Racing,Medium,,game_lists_5th_gen_enriched
Batman Beyond: Return of the Joker,Batman,2000,5th Generation,Nintendo 64,,Ubisoft,Kemco,Beat ’em up,High,,game_lists_5th_gen_enriched
Crash Bandicoot,Crash Bandicoot,1996,5th Generation,Sony PlayStation,,Sony Computer Entertainment,Naughty Dog,Platformer,High,,game_lists_5th_gen_enriched
Crash Bandicoot 2: Cortex Strikes Back,Crash Bandicoot,1997,5th Generation,Sony PlayStation,,Sony Computer Entertainment,Naughty Dog,Platformer,High,,game_lists_5th_gen_enriched
Crash Bandicoot: Warped,Crash Bandicoot,1998,5th Generation,Sony PlayStation,,Sony Computer Entertainment,Naughty Dog,Platformer,High,,game_lists_5th_gen_enriched
Crash Bash,Crash Bandicoot,2000,5th Generation,Sony PlayStation,,Sony Computer Entertainment,Eurocom,Party,High,,game_lists_5th_gen_enriched
Crash Team Racing,Crash Bandicoot,1999,5th Generation,Sony PlayStation,,Sony Computer Entertainment,Naughty Dog,Kart Racing,High,,game_lists_5th_gen_enriched
Superman: The New Adventures,DC,1999,5th Generation,Nintendo 64,,Titus Interactive,Titus Interactive,Action-adventure,High,,game_lists_5th_gen_enriched
Diablo,Diablo,1998,5th Generation,Sony PlayStation,,Blizzard Entertainment,Climax Studios,Action RPG,High,PlayStation port; original PC developer was Blizzard North.,game_lists_5th_gen_enriched
Dino Crisis,Dino Crisis,1999,5th Generation,Sony PlayStation,,Capcom,Capcom,Survival Horror,High,,game_lists_5th_gen_enriched
Dino Crisis 2,Dino Crisis,2000,5th Generation,Sony PlayStation,,Capcom,Capcom,Survival Horror,High,,game_lists_5th_gen_enriched
Diddy Kong Racing,Donkey Kong,1997,5th Generation,Nintendo 64,,Nintendo,Rare,Racing,High,,game_lists_5th_gen_enriched
Donkey Kong 64,Donkey Kong,1999,5th Generation,Nintendo 64,,Nintendo,Rare,Platformer,High,,game_lists_5th_gen_enriched
Doom 64,Doom,1997,5th Generation,Nintendo 64,,Midway Games,Midway Games,FPS,High,,game_lists_5th_gen_enriched
Duke Nukem 3D,Duke Nukem,1997,5th Generation,Sony PlayStation,,GT Interactive,3D Realms,FPS,High,,game_lists_5th_gen_enriched
Duke Nukem: Land of the Babes,Duke Nukem,2000,5th Generation,Sony PlayStation,,Infogrames,n-Space,Third-person Shooter,High,,game_lists_5th_gen_enriched
Duke Nukem: Time to Kill,Duke Nukem,1998,5th Generation,Sony PlayStation,,GT Interactive,n-Space,Third-person Shooter,High,,game_lists_5th_gen_enriched
Duke Nukem 64,Duke Nukem,1997,5th Generation,Nintendo 64,,GT Interactive,Eurocom,FPS,High,,game_lists_5th_gen_enriched
Duke Nukem: Zero Hour,Duke Nukem,1999,5th Generation,Nintendo 64,,GT Interactive,Eurocom,Third-person Shooter,High,,game_lists_5th_gen_enriched
F-Zero X,F-Zero,1998,5th Generation,Nintendo 64,,Nintendo,Nintendo EAD,Racing,High,,game_lists_5th_gen_enriched
Final Fantasy,Final Fantasy,2002,5th Generation,Sony PlayStation,,Square,Square,JRPG,High,PlayStation compilation/remake release.,game_lists_5th_gen_enriched
Final Fantasy Anthology,Final Fantasy,1999,5th Generation,Sony PlayStation,,Square,Square,JRPG,High,Compilation.,game_lists_5th_gen_enriched
Final Fantasy Chronicles,Final Fantasy,2001,5th Generation,Sony PlayStation,,Square,Square,JRPG,High,Compilation.,game_lists_5th_gen_enriched
Final Fantasy II,Final Fantasy,1997,5th Generation,Sony PlayStation,,Square,Square,JRPG,High,Numbering may refer to region-specific Final Fantasy IV release.,game_lists_5th_gen_enriched
Final Fantasy III,Final Fantasy,1999,5th Generation,Sony PlayStation,,Square,Square,JRPG,High,Numbering may refer to region-specific Final Fantasy VI release.,game_lists_5th_gen_enriched
Final Fantasy IX,Final Fantasy,2000,5th Generation,Sony PlayStation,,Square,Square,JRPG,High,,game_lists_5th_gen_enriched
Final Fantasy Tactics,Final Fantasy,1997,5th Generation,Sony PlayStation,,Square,Square,Tactical RPG,High,,game_lists_5th_gen_enriched
Final Fantasy V,Final Fantasy,1998,5th Generation,Sony PlayStation,,Square,Square,JRPG,High,,game_lists_5th_gen_enriched
Final Fantasy VII,Final Fantasy,1997,5th Generation,Sony PlayStation,,Square,Square,JRPG,High,,game_lists_5th_gen_enriched
Final Fantasy VIII,Final Fantasy,1999,5th Generation,Sony PlayStation,,Square,Square,JRPG,High,,game_lists_5th_gen_enriched
Final Fantasy Collection,Final Fantasy,1999,5th Generation,Sony PlayStation,,Square,Square,JRPG,High,Japan-only compilation.,game_lists_5th_gen_enriched
Gex,Gex,1995,5th Generation,Sony PlayStation,,Crystal Dynamics,Crystal Dynamics,Platformer,High,,game_lists_5th_gen_enriched
Gex 3: Deep Cover Gecko,Gex,1999,5th Generation,Sony PlayStation,,Eidos Interactive,Crystal Dynamics,Platformer,High,,game_lists_5th_gen_enriched
Gex: Enter the Gecko,Gex,1998,5th Generation,Sony PlayStation,,Eidos Interactive,Crystal Dynamics,Platformer,High,,game_lists_5th_gen_enriched
Gran Turismo,Gran Turismo,1997,5th Generation,Sony PlayStation,,Sony Computer Entertainment,Polyphony Digital,Racing,High,,game_lists_5th_gen_enriched
Gran Turismo 2,Gran Turismo,1999,5th Generation,Sony PlayStation,,Sony Computer Entertainment,Polyphony Digital,Racing,High,,game_lists_5th_gen_enriched
Grand Theft Auto,Grand Theft Auto,1997,5th Generation,Sony PlayStation,,Rockstar Games,DMA Design,Action-adventure,High,,game_lists_5th_gen_enriched
Grand Theft Auto 2,Grand Theft Auto,1999,5th Generation,Sony PlayStation,,Rockstar Games,DMA Design,Action-adventure,High,,game_lists_5th_gen_enriched
Harry Potter and the Chamber of Secrets,Harry Potter,2002,5th Generation,Sony PlayStation,,Electronic Arts,Eurocom,Action-adventure,High,,game_lists_5th_gen_enriched
Harry Potter and the Philosopher’s Stone,Harry Potter,2001,5th Generation,Sony PlayStation,,Electronic Arts,Argonaut Games,Action-adventure,High,,game_lists_5th_gen_enriched
Indiana Jones and the Infernal Machine,Indiana Jones,2000,5th Generation,Nintendo 64,,LucasArts,LucasArts,Action-adventure,High,,game_lists_5th_gen_enriched
007 Racing,James Bond,2000,5th Generation,Sony PlayStation,,Electronic Arts,Eutechnyx,Racing,High,,game_lists_5th_gen_enriched
007: The World is Not Enough,James Bond,2000,5th Generation,Sony PlayStation,,Electronic Arts,Black Ops Entertainment,FPS,High,,game_lists_5th_gen_enriched
007: Tomorrow Never Dies,James Bond,1999,5th Generation,Sony PlayStation,,Electronic Arts,Black Ops Entertainment,Third-person Shooter,High,,game_lists_5th_gen_enriched
